rendszam	tipus	fajta
F0067	Fogaskerekű vezérlőkocsi	fogaskerekű
FJX186	Volvo 7700A	autóbusz
FJX187	Volvo 7700A	autóbusz
FJX188	Volvo 7700A	autóbusz
FJX189	Volvo 7700A	autóbusz
FJX190	Volvo 7700A	autóbusz
FJX191	Volvo 7700A	autóbusz
FJX192	Volvo 7700A	autóbusz
FJX193	Volvo 7700A	autóbusz
FJX194	Volvo 7700A	autóbusz
FJX195	Volvo 7700A	autóbusz
FJX196	Volvo 7700A	autóbusz
FJX197	Volvo 7700A	autóbusz
FJX198	Volvo 7700A	autóbusz
FJX199	Volvo 7700A	autóbusz
FJX200	Volvo 7700A	autóbusz
FJX201	Volvo 7700A	autóbusz
FJX202	Volvo 7700A	autóbusz
FJX203	Volvo 7700A	autóbusz
FJX204	Volvo 7700A	autóbusz
FJX205	Volvo 7700A	autóbusz
FJX206	Volvo 7700A	autóbusz
FJX207	Volvo 7700A	autóbusz
FJX208	Volvo 7700A	autóbusz
FJX209	Volvo 7700A	autóbusz
FJX210	Volvo 7700A	autóbusz
FJX211	Volvo 7700A	autóbusz
FJX212	Volvo 7700A	autóbusz
FJX213	Volvo 7700A	autóbusz
FJX214	Volvo 7700A	autóbusz
FJX215	Volvo 7700A	autóbusz
FJX216	Volvo 7700A	autóbusz
FJX217	Volvo 7700A	autóbusz
FJX218	Volvo 7700A	autóbusz
FJX219	Volvo 7700A	autóbusz
FJX220	Volvo 7700A	autóbusz
FJX221	Volvo 7700A	autóbusz
FJX222	Volvo 7700A	autóbusz
FJX223	Volvo 7700A	autóbusz
FJX224	Volvo 7700A	autóbusz
FJX225	Volvo 7700A	autóbusz
FJX226	Volvo 7700A	autóbusz
FJX227	Volvo 7700A	autóbusz
FJX228	Volvo 7700A	autóbusz
FJX229	Volvo 7700A	autóbusz
FJX230	Volvo 7700A	autóbusz
FJX231	Volvo 7700A	autóbusz
FJX232	Volvo 7700A	autóbusz
FJX233	Volvo 7700A	autóbusz
FJX234	Volvo 7700A	autóbusz
FJX235	Volvo 7700A	autóbusz
FKU901	Volvo 7700A	autóbusz
FKU902	Volvo 7700A	autóbusz
FKU903	Volvo 7700A	autóbusz
FKU904	Volvo 7700A	autóbusz
FKU905	Volvo 7700A	autóbusz
FKU906	Volvo 7700A	autóbusz
FKU907	Volvo 7700A	autóbusz
FKU908	Volvo 7700A	autóbusz
FKU909	Volvo 7700A	autóbusz
FKU910	Volvo 7700A	autóbusz
FKU911	Volvo 7700A	autóbusz
FKU912	Volvo 7700A	autóbusz
FKU913	Volvo 7700A	autóbusz
FKU914	Volvo 7700A	autóbusz
FKU915	Volvo 7700A	autóbusz
FKU916	Volvo 7700A	autóbusz
FKU917	Volvo 7700A	autóbusz
FKU918	Volvo 7700A	autóbusz
FKU919	Volvo 7700A	autóbusz
FKU920	Volvo 7700A	autóbusz
FKU921	Volvo 7700A	autóbusz
FKU922	Volvo 7700A	autóbusz
FKU923	Volvo 7700A	autóbusz
FKU924	Volvo 7700A	autóbusz
FKU925	Volvo 7700A	autóbusz
FKU926	Volvo 7700A	autóbusz
FKU927	Volvo 7700A	autóbusz
FKU928	Volvo 7700A	autóbusz
FKU929	Volvo 7700A	autóbusz
FKU930	Volvo 7700A	autóbusz
FKU931	Volvo 7700A	autóbusz
FKU932	Volvo 7700A	autóbusz
FKU933	Volvo 7700A	autóbusz
